
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma86.

Number of nonzeros in equality constraint Jacobian...:    41065
Number of nonzeros in inequality constraint Jacobian.:     5776
Number of nonzeros in Lagrangian Hessian.............:    20537

Total number of variables............................:     8982
                     variables with only lower bounds:      998
                variables with lower and upper bounds:     4195
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5878
Total number of inequality constraints...............:     2394
        inequality constraints with only lower bounds:      400
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1994

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0039990e+05 4.28e+01 1.00e+02  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  9.9595261e+04 4.28e+01 9.99e+01  -1.0 9.67e+04  -4.0 2.45e-03 2.02e-04f  1
   2  9.8647455e+04 4.27e+01 9.99e+01  -1.0 1.89e+05  -4.5 5.43e-04 2.72e-04f  1
   3  9.8642614e+04 4.27e+01 1.01e+02  -1.0 1.21e+05  -5.0 1.57e-05 1.45e-06h  2
   4r 9.8642614e+04 4.27e+01 9.99e+02   1.6 0.00e+00  -5.4 0.00e+00 3.67e-07R  3
   5r 3.4556857e+05 4.03e+01 9.98e+02   1.6 3.73e+03    -  4.30e-04 6.77e-04f  1
   6r 5.8057275e+05 4.01e+01 9.98e+02   0.9 1.00e+01   2.0 1.80e-02 1.31e-02f  1
   7r 6.7432035e+05 3.99e+01 9.98e+02   0.9 3.04e+01   1.5 6.96e-03 7.31e-03f  1
   8r 7.6556163e+05 3.94e+01 9.99e+02   0.9 9.33e+01   1.0 6.13e-03 6.11e-03f  1
   9r 8.1521934e+05 3.85e+01 9.99e+02   0.9 3.14e+02   0.6 2.80e-03 2.98e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 8.3601975e+05 3.77e+01 9.99e+02   0.9 9.35e+02   0.1 6.22e-04 9.62e-04f  1
  11r 8.7229280e+05 3.52e+01 1.00e+03   0.9 5.14e+03  -0.4 3.13e-04 1.01e-03f  1
  12r 9.8237573e+05 1.02e+01 9.99e+02   0.9 2.86e+04    -  3.38e-04 1.22e-03f  1
  13r 1.0446211e+06 2.84e+00 9.97e+02   0.9 7.65e+03    -  1.56e-03 1.28e-03f  1
  14r 1.1075185e+06 2.91e+00 9.94e+02   0.9 7.19e+02    -  3.73e-03 2.86e-03f  1
  15r 1.2199159e+06 2.48e+00 9.90e+02   0.9 3.76e+02    -  3.30e-03 5.27e-03f  1
  16r 1.3127433e+06 2.33e+00 9.86e+02   0.9 4.03e+02    -  4.88e-03 4.86e-03f  1
  17r 1.4229951e+06 2.22e+00 9.76e+02   0.9 1.85e+02    -  9.80e-03 6.25e-03f  1
  18r 1.5966671e+06 2.50e+00 9.63e+02   0.9 2.06e+02    -  1.31e-02 1.02e-02f  1
  19r 1.7795738e+06 2.82e+00 9.50e+02   0.9 1.52e+02    -  1.40e-02 1.13e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20r 2.0151542e+06 3.84e+00 9.29e+02   0.9 1.66e+02    -  2.22e-02 1.51e-02f  1
  21r 2.1434962e+06 6.41e+00 9.25e+02   0.9 5.69e+02    -  3.64e-03 8.86e-03f  1
  22r 2.2079141e+06 6.29e+00 9.18e+02   0.9 5.53e+01   0.9 7.52e-03 6.22e-03f  1
  23r 2.3376472e+06 5.95e+00 9.68e+02   0.9 3.24e+01   1.4 1.60e-03 1.71e-02f  1
  24r 2.3627508e+06 5.91e+00 8.91e+02   0.9 1.10e+01   1.8 6.52e-02 5.89e-03f  1
  25r 2.4353481e+06 5.78e+00 8.83e+02   0.9 6.05e+01   1.3 8.77e-03 1.16e-02f  1
  26r 2.4665962e+06 5.70e+00 8.76e+02   0.9 1.00e+02   0.8 1.15e-02 4.35e-03f  1
  27r 2.4710641e+06 5.69e+00 8.71e+02   0.9 2.40e+02   0.4 2.00e-03 7.93e-04f  1
  28r 2.6228319e+06 5.55e+00 8.56e+02   0.9 3.37e+01   0.8 2.01e-02 1.92e-02f  1
  29r 2.8281528e+06 5.43e+00 8.36e+02   0.9 5.27e+01   0.3 2.25e-02 2.38e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30r 3.0008453e+06 5.32e+00 8.16e+02   0.9 1.77e+01   0.7 3.21e-02 2.27e-02f  1
  31r 3.3632411e+06 5.05e+00 9.80e+02   0.9 7.27e+00   1.2 2.16e-01 6.22e-02f  1
  32r 3.9060884e+06 4.99e+00 8.47e+02   0.9 3.05e+00   1.6 1.63e-01 1.79e-01f  1
  33r 4.3011991e+06 4.54e+00 6.47e+02   0.9 7.83e-01   2.0 2.94e-01 3.11e-01f  1
  34r 4.3929872e+06 7.54e+00 6.47e+02   0.9 1.82e+01   1.5 5.86e-02 5.64e-02f  1
  35r 4.5229452e+06 2.05e+00 2.83e+02   0.9 3.02e-01   2.9 5.55e-01 7.28e-01f  1
  36r 4.5317565e+06 1.72e+00 2.72e+02   0.2 1.17e+00   2.4 1.07e-01 1.72e-01f  1
  37r 4.5422126e+06 1.15e+00 1.61e+02   0.2 2.80e-01   2.8 4.15e-01 3.39e-01f  1
  38r 4.5499951e+06 5.39e-01 1.79e+02   0.2 1.07e-01   3.2 8.48e-01 6.02e-01f  1
  39r 4.5599124e+06 5.46e-01 3.78e+02   0.2 6.53e-01   2.8 1.47e-01 2.93e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 4.5673806e+06 5.51e-01 1.44e+02   0.2 1.32e-01   3.2 7.23e-01 5.66e-01f  1
  41r 4.5720502e+06 5.55e-01 1.49e+02   0.2 7.66e-01   2.7 9.22e-02 1.21e-01f  1
  42r 4.5790747e+06 5.61e-01 2.53e+02   0.2 1.04e-01   3.1 8.00e-01 4.73e-01f  1
  43r 4.5847059e+06 5.65e-01 1.39e+02   0.2 3.79e-02   3.6 1.00e+00 1.00e+00f  1
  44r 4.5959038e+06 5.75e-01 1.37e+02   0.2 1.14e-01   3.1 8.60e-01 6.64e-01f  1
