time,qm_f,wm_f,tm_f,qm_b,wm_b,tm_b,ue_f,ur_f,xp_f,vp_f,ue_b,ur_b,xp_b,vp_b,x,y,r,dx,dy,dr,ddx,ddy
0.0,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.002,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.003,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0035,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0045000000000000005,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0055,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.006500000000000001,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.007,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0075,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0085,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0095,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0105,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.011,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0115,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.012,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0125,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000001,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0135,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.014,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0145,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.015,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0155,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.016,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
0.0165,-3.003818818903597,-0.0,0.0,-0.1377738346861998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17146525342439428,0.0,0.0,0.0,0.0,0.0,0.0
